group,m,harmonic,alg,mean,std,n
CORRENTES,64,1,OMP,0.005056988868897175,0.0048893258454335365,30
CORRENTES,64,1,CoSaMP,0.00016528453693747633,0.0002744069267693877,30
CORRENTES,64,1,BP,0.0009584444396676034,0.0002191186811210002,30
CORRENTES,64,2,OMP,0.0006086502663238131,0.0009190528539311327,30
CORRENTES,64,2,CoSaMP,0.0006263372823519123,0.001040676143449316,30
CORRENTES,64,2,BP,0.0007280498804556542,0.0005687216363907065,30
CORRENTES,64,3,OMP,0.03462585898122442,0.04332586000464276,30
CORRENTES,64,3,CoSaMP,0.03472378506286812,0.04337490603194812,30
CORRENTES,64,3,BP,0.019149721369531605,0.023509015446741326,30
CORRENTES,64,4,OMP,0.07201021313723918,0.08136081785301519,30
CORRENTES,64,4,CoSaMP,0.09181256236038346,0.13000387064785057,30
CORRENTES,64,4,BP,0.03961210756612494,0.04600275758689269,30
CORRENTES,64,5,OMP,0.040501706246182344,0.035629307769247553,30
CORRENTES,64,5,CoSaMP,0.0566560921619831,0.11258012883508398,30
CORRENTES,64,5,BP,0.031850332971016575,0.04719599080010388,30
CORRENTES,64,6,OMP,0.1014996633167553,0.1168497906926539,30
CORRENTES,64,6,CoSaMP,0.13937721517551097,0.1765128820466325,30
CORRENTES,64,6,BP,0.05213862391220208,0.04458893929282618,30
CORRENTES,64,7,OMP,0.12769980455242624,0.14722790370529204,30
CORRENTES,64,7,CoSaMP,0.1348289164703184,0.14900424092719267,30
CORRENTES,64,7,BP,0.07629633772073441,0.0937630652156715,30
CORRENTES,64,8,OMP,0.20296514082786246,0.23622468007049505,30
CORRENTES,64,8,CoSaMP,0.19673451346525422,0.20636539614792423,30
CORRENTES,64,8,BP,0.10326077911423462,0.1324088467927564,30
CORRENTES,64,9,OMP,0.2826527138854817,0.24280234532364503,30
CORRENTES,64,9,CoSaMP,0.29090375121724193,0.25095379906711185,30
CORRENTES,64,9,BP,0.14337098534950857,0.11844128047750169,30
CORRENTES,64,10,OMP,0.6242204665496158,0.9230211129862811,30
CORRENTES,64,10,CoSaMP,0.775831824507389,0.7920233664878112,30
CORRENTES,64,10,BP,0.24317164931815805,0.22128562018428594,30
CORRENTES,64,11,OMP,1.089258470153297,2.2472292847341344,30
CORRENTES,64,11,CoSaMP,2.766730887463491,7.898351913814366,30
CORRENTES,64,11,BP,0.4049367588866724,0.9016751759545043,30
CORRENTES,64,12,OMP,3.065113140462672,4.074467907438432,30
CORRENTES,64,12,CoSaMP,3.6847813755372325,4.858574703330184,30
CORRENTES,64,12,BP,0.3036554419110804,0.24147849465944018,30
CORRENTES,64,13,OMP,2.833310179167143,3.610771808936449,30
CORRENTES,64,13,CoSaMP,1.9036738566966376,2.7278399061221523,30
CORRENTES,64,13,BP,0.3972814325087074,0.25621742351502064,30
CORRENTES,64,14,OMP,1.6510916599368757,3.4053777832590284,30
CORRENTES,64,14,CoSaMP,0.799545118269309,1.360363880168976,30
CORRENTES,64,14,BP,0.3386722399356052,0.2490159340104448,30
CORRENTES,64,15,OMP,0.7923614923880892,0.6862570027504513,30
CORRENTES,64,15,CoSaMP,0.680445805661178,0.1842674717176214,30
CORRENTES,64,15,BP,0.34460796621081785,0.29517239581491167,30
CORRENTES,64,16,OMP,0.5961976101642967,0.2613289747016616,30
CORRENTES,64,16,CoSaMP,0.576400957104262,0.27841307641789165,30
CORRENTES,64,16,BP,0.32883308700264163,0.23703806005700595,30
CORRENTES,64,17,OMP,0.8510888570582116,1.2874590478674208,30
CORRENTES,64,17,CoSaMP,0.868025770192134,1.279299524913711,30
CORRENTES,64,17,BP,0.5544396699232738,1.3053357368290934,30
CORRENTES,64,18,OMP,0.6289526557684719,0.47865009802173386,30
CORRENTES,64,18,CoSaMP,0.6408091353817833,0.4715772709089498,30
CORRENTES,64,18,BP,0.40836268136006415,0.4864902749203978,30
CORRENTES,64,19,OMP,0.6494987016976815,0.246764376162292,30
CORRENTES,64,19,CoSaMP,0.6550745557268043,0.24889506998793406,30
CORRENTES,64,19,BP,0.34104599032323407,0.2710619835976161,30
CORRENTES,64,20,OMP,0.6334690005098478,0.41080884216724417,30
CORRENTES,64,20,CoSaMP,0.6355825368981166,0.41091389386314964,30
CORRENTES,64,20,BP,0.4490847003327962,0.45506070392175774,30
CORRENTES,64,21,OMP,0.732189763424861,0.1704166267366666,30
CORRENTES,64,21,CoSaMP,0.7360332445159702,0.1704857268373988,30
CORRENTES,64,21,BP,0.4187499576961324,0.2708727954036548,30
CORRENTES,64,22,OMP,0.5783513406137213,0.28057162445076755,30
CORRENTES,64,22,CoSaMP,0.5825358142807507,0.28090162124609946,30
CORRENTES,64,22,BP,0.29815558714584556,0.26078677604412825,30
CORRENTES,64,23,OMP,0.687794644239393,0.23791568656941503,30
CORRENTES,64,23,CoSaMP,0.6919386330910233,0.23656050165359,30
CORRENTES,64,23,BP,0.5118523559668234,0.2941568685061861,30
CORRENTES,64,24,OMP,0.6117399791983964,0.2292993966385689,30
CORRENTES,64,24,CoSaMP,0.6169208107435368,0.22995438647134822,30
CORRENTES,64,24,BP,0.47713701637829503,0.2271047276505106,30
CORRENTES,64,25,OMP,0.6432848808600202,0.2564781363670779,30
CORRENTES,64,25,CoSaMP,0.6458662078702344,0.25776919265250586,30
CORRENTES,64,25,BP,0.6168813822626544,0.24516147436853988,30
CORRENTES,64,26,OMP,0.6998269672763169,0.2397927699890774,30
CORRENTES,64,26,CoSaMP,0.7016764224886956,0.23865809046696113,30
CORRENTES,64,26,BP,0.5827376403480279,0.26861819638361656,30
CORRENTES,64,27,OMP,0.6940820413091322,0.2521865409948756,30
CORRENTES,64,27,CoSaMP,0.6963919532654923,0.25173685896573833,30
CORRENTES,64,27,BP,0.6145060226444288,0.2725203798862036,30
CORRENTES,64,28,OMP,0.7648952243158115,0.18436487914733088,30
CORRENTES,64,28,CoSaMP,0.7674503895133712,0.18383872183324204,30
CORRENTES,64,28,BP,0.720229891995462,0.18511919331787238,30
CORRENTES,64,29,OMP,0.8954063356899277,0.425252442300524,30
CORRENTES,64,29,CoSaMP,0.8983332828204654,0.43086794866454814,30
CORRENTES,64,29,BP,0.9076601478223928,0.6032727512953319,30
CORRENTES,64,30,OMP,0.8411385168584624,0.17741918461771128,30
CORRENTES,64,30,CoSaMP,0.8430720421181651,0.1768124073310644,30
CORRENTES,64,30,BP,0.8196058240930141,0.17024046394405495,30
CORRENTES,64,31,OMP,0.9055991714715231,0.16052660306136002,30
CORRENTES,64,31,CoSaMP,0.9078574672226118,0.1566064931042979,30
CORRENTES,64,31,BP,0.8834929686371498,0.16354911922518586,30
CORRENTES,63,1,OMP,0.005075574308463019,0.004877315514200943,30
CORRENTES,63,1,CoSaMP,0.00023646391222097027,0.00043962966734577643,30
CORRENTES,63,1,BP,0.000984271009522066,0.0002111417052853543,30
CORRENTES,63,2,OMP,0.0007814781159104904,0.0010309936976492238,30
CORRENTES,63,2,CoSaMP,0.0007706182014293026,0.0010541915323903752,30
CORRENTES,63,2,BP,0.000732183107154332,0.0005844023213373692,30
CORRENTES,63,3,OMP,0.06913439828332277,0.13076796373710886,30
CORRENTES,63,3,CoSaMP,0.0706829012877275,0.1287665947336567,30
CORRENTES,63,3,BP,0.020315538102595978,0.024301317613432117,30
CORRENTES,63,4,OMP,0.11112844526881156,0.17418076588479542,30
CORRENTES,63,4,CoSaMP,0.11611085596228758,0.17797008021272084,30
CORRENTES,63,4,BP,0.04017803078514743,0.04498449248865082,30
CORRENTES,63,5,OMP,0.054828522819981226,0.11015590857874945,30
CORRENTES,63,5,CoSaMP,0.053775225378194486,0.11105498630654752,30
CORRENTES,63,5,BP,0.04046374999518976,0.05541002114708107,30
CORRENTES,63,6,OMP,0.13757761239766653,0.16266335041069158,30
CORRENTES,63,6,CoSaMP,0.1402545316286609,0.16490350120265165,30
CORRENTES,63,6,BP,0.0604334948061419,0.046236336651009555,30
CORRENTES,63,7,OMP,0.13446693733747372,0.14604096904961675,30
CORRENTES,63,7,CoSaMP,0.15241250465442432,0.15490186556655036,30
CORRENTES,63,7,BP,0.07720503636504344,0.10143428851544553,30
CORRENTES,63,8,OMP,0.20390649722138657,0.20176421009851203,30
CORRENTES,63,8,CoSaMP,0.24766164674122088,0.20990143939093908,30
CORRENTES,63,8,BP,0.1230164465874907,0.16314483871107802,30
CORRENTES,63,9,OMP,0.3438543286968717,0.2594827721418291,30
CORRENTES,63,9,CoSaMP,0.506844995497094,0.4970053070759791,30
CORRENTES,63,9,BP,0.160685905384668,0.1517151355899922,30
CORRENTES,63,10,OMP,0.7646557768556445,0.7936215243089156,30
CORRENTES,63,10,CoSaMP,1.642442857549213,1.9792094319467555,30
CORRENTES,63,10,BP,0.2177733479282281,0.22869253534012413,30
CORRENTES,63,11,OMP,2.736317886887798,7.883622506049699,30
CORRENTES,63,11,CoSaMP,2.419084206661816,4.293088434028868,30
CORRENTES,63,11,BP,0.43012586249248486,0.8972728024259763,30
CORRENTES,63,12,OMP,3.5446344554425937,4.74125251510023,30
CORRENTES,63,12,CoSaMP,2.595981730143294,3.9317526028960392,30
CORRENTES,63,12,BP,0.3015956555787477,0.23748236576829046,30
CORRENTES,63,13,OMP,1.8933346872375387,2.6697315884737693,30
CORRENTES,63,13,CoSaMP,1.022010215516924,1.6724706999813377,30
CORRENTES,63,13,BP,0.39114631558728147,0.24115396224343516,30
CORRENTES,63,14,OMP,0.7921840070841977,1.35926043915028,30
CORRENTES,63,14,CoSaMP,0.5907468075569119,0.3306654905028167,30
CORRENTES,63,14,BP,0.3314366822516421,0.21437110961406053,30
CORRENTES,63,15,OMP,0.6831240343868846,0.18630663020911387,30
CORRENTES,63,15,CoSaMP,0.6939855587418251,0.19440225483633314,30
CORRENTES,63,15,BP,0.3649134002072429,0.25809998103452364,30
CORRENTES,63,16,OMP,0.578295760760028,0.2777224223428021,30
CORRENTES,63,16,CoSaMP,0.5851431935671698,0.2896313544469955,30
CORRENTES,63,16,BP,0.49688230872658445,0.7417231240136377,30
CORRENTES,63,17,OMP,0.8720804373096355,1.2896530339106274,30
CORRENTES,63,17,CoSaMP,0.8783470226004493,1.2641841220350287,30
CORRENTES,63,17,BP,0.6656082420740241,1.4433798830115987,30
CORRENTES,63,18,OMP,0.6443579677043991,0.47420757451462775,30
CORRENTES,63,18,CoSaMP,0.6480759829142861,0.47336892717575796,30
CORRENTES,63,18,BP,0.4298398408632712,0.5446913148155771,30
CORRENTES,63,19,OMP,0.6561256030451834,0.24900411275676762,30
CORRENTES,63,19,CoSaMP,0.6621068523679764,0.2473727723786923,30
CORRENTES,63,19,BP,0.4901089950771407,0.37768419037980205,30
CORRENTES,63,20,OMP,0.636968017062957,0.4161881223069414,30
CORRENTES,63,20,CoSaMP,0.6382829536055096,0.4128707700437239,30
CORRENTES,63,20,BP,0.664232961301922,0.6591578522639814,30
CORRENTES,63,21,OMP,0.7349927401116726,0.17187416909780495,30
CORRENTES,63,21,CoSaMP,0.7384172198994228,0.1712498047608374,30
CORRENTES,63,21,BP,0.4520788673267822,0.2734151352358232,30
CORRENTES,63,22,OMP,0.5816573287066819,0.2814631817260675,30
CORRENTES,63,22,CoSaMP,0.5853291664728868,0.2815696322513571,30
CORRENTES,63,22,BP,0.5858018718675931,0.5621906083947815,30
CORRENTES,63,23,OMP,0.6926938111169829,0.2390248012342969,30
CORRENTES,63,23,CoSaMP,0.6956863651903423,0.23746946113780068,30
CORRENTES,63,23,BP,0.7690160696160772,1.169470755237893,30
CORRENTES,63,24,OMP,0.6145156212490542,0.23153412985244148,30
CORRENTES,63,24,CoSaMP,0.6195332845828292,0.23096218473716856,30
CORRENTES,63,24,BP,0.5690443430276798,0.5063286205649903,30
CORRENTES,63,25,OMP,0.6451033853597539,0.25745657208021444,30
CORRENTES,63,25,CoSaMP,0.6475136868448305,0.25781882981472704,30
CORRENTES,63,25,BP,0.6289597083766318,0.533891868551495,30
CORRENTES,63,26,OMP,0.7012355861102809,0.2400332385170009,30
CORRENTES,63,26,CoSaMP,0.7029356684747072,0.23862616691076083,30
CORRENTES,63,26,BP,0.6205614281750391,0.2863037562073358,30
CORRENTES,63,27,OMP,0.6959930227975666,0.25377683758149044,30
CORRENTES,63,27,CoSaMP,0.6983043339468364,0.2530637121514093,30
CORRENTES,63,27,BP,0.6041409481300515,0.26336159928079955,30
CORRENTES,63,28,OMP,0.7670997824318898,0.18440565722381944,30
CORRENTES,63,28,CoSaMP,0.7693954732020103,0.1843176526700455,30
CORRENTES,63,28,BP,0.7221837178125732,0.17453497712402063,30
CORRENTES,63,29,OMP,0.8949426623949527,0.4170959878961578,30
CORRENTES,63,29,CoSaMP,0.8981538388015784,0.4240485559212666,30
CORRENTES,63,29,BP,0.9117195819982998,0.6196357691613391,30
CORRENTES,63,30,OMP,0.8423033591222151,0.17809494181921728,30
CORRENTES,63,30,CoSaMP,0.8442157771176124,0.176898985163737,30
CORRENTES,63,30,BP,0.8202263461210785,0.171036722738181,30
CORRENTES,63,31,OMP,0.9071290917500394,0.15927027740644176,30
CORRENTES,63,31,CoSaMP,0.9090929392201574,0.15710036506770003,30
CORRENTES,63,31,BP,0.8836026144462863,0.1656485428443576,30
CORRENTES,62,1,OMP,0.005082112859203508,0.004918904249992273,30
CORRENTES,62,1,CoSaMP,0.00022884921214353412,0.00043245707394013724,30
CORRENTES,62,1,BP,0.001021173101760227,0.00024923638060789834,30
CORRENTES,62,2,OMP,0.0008867848993340879,0.0009541678442030194,30
CORRENTES,62,2,CoSaMP,0.0009771016212154033,0.0011472517827854974,30
CORRENTES,62,2,BP,0.0008090390149336253,0.0005558189891309883,30
CORRENTES,62,3,OMP,0.06364530823213387,0.12437602781538891,30
CORRENTES,62,3,CoSaMP,0.06915675789754411,0.13172512270809844,30
CORRENTES,62,3,BP,0.021760184491744623,0.024035207460697622,30
CORRENTES,62,4,OMP,0.11357938939308788,0.20773995259906505,30
CORRENTES,62,4,CoSaMP,0.11531245195222518,0.22134882764152028,30
CORRENTES,62,4,BP,0.044345850285238325,0.05297318154172106,30
CORRENTES,62,5,OMP,0.05976822036774447,0.11968232792825115,30
CORRENTES,62,5,CoSaMP,0.06029767445014912,0.1138920137764277,30
CORRENTES,62,5,BP,0.034354856188272456,0.0501437846930555,30
CORRENTES,62,6,OMP,0.1409787378059199,0.1745075754353002,30
CORRENTES,62,6,CoSaMP,0.14075098413768536,0.18149670951409153,30
CORRENTES,62,6,BP,0.05942448256197018,0.04223307318447163,30
CORRENTES,62,7,OMP,0.12731378249520162,0.1281640659616295,30
CORRENTES,62,7,CoSaMP,0.1464721840912957,0.1487366622428566,30
CORRENTES,62,7,BP,0.07519014549527962,0.08244062798595551,30
CORRENTES,62,8,OMP,0.23941028513771848,0.20864629120046016,30
CORRENTES,62,8,CoSaMP,0.26577909350744494,0.21543651220932805,30
CORRENTES,62,8,BP,0.14555750365411804,0.1380530597210612,30
CORRENTES,62,9,OMP,0.30815220894663664,0.2596005795894256,30
CORRENTES,62,9,CoSaMP,0.46129833759900035,0.5059984403337634,30
CORRENTES,62,9,BP,0.15411540304773913,0.14751045952148925,30
CORRENTES,62,10,OMP,0.9132646025409696,0.8112176244575451,30
CORRENTES,62,10,CoSaMP,1.6756065503691497,1.9641401359793242,30
CORRENTES,62,10,BP,0.19304565802368925,0.18279555963297758,30
CORRENTES,62,11,OMP,2.8848469331113233,8.065934720363796,30
CORRENTES,62,11,CoSaMP,2.334195823926317,4.384340650339959,30
CORRENTES,62,11,BP,0.4295110981609246,0.889597644126864,30
CORRENTES,62,12,OMP,3.557655706370319,4.527516737426605,30
CORRENTES,62,12,CoSaMP,2.329536945056781,2.9574215584695858,30
CORRENTES,62,12,BP,0.349001848222823,0.2534036010914726,30
CORRENTES,62,13,OMP,1.719310036024208,2.5943641604243592,30
CORRENTES,62,13,CoSaMP,0.9244487508476236,1.1824934764227213,30
CORRENTES,62,13,BP,0.4364414205836353,0.2933280169130828,30
CORRENTES,62,14,OMP,0.5822454619361997,0.3634668786571036,30
CORRENTES,62,14,CoSaMP,0.5758225422135992,0.3115989805850982,30
CORRENTES,62,14,BP,0.4030669308294641,0.2812021997667798,30
CORRENTES,62,15,OMP,0.6669640788636589,0.19933665977910173,30
CORRENTES,62,15,CoSaMP,0.6815462705731519,0.19809194513494185,30
CORRENTES,62,15,BP,0.45421423099705505,0.25691424863917056,30
CORRENTES,62,16,OMP,0.5783277154259835,0.2799221454181773,30
CORRENTES,62,16,CoSaMP,0.5869912296413573,0.2899246815885484,30
CORRENTES,62,16,BP,0.5769545569521787,0.8066648062575132,30
CORRENTES,62,17,OMP,0.8650064309484496,1.246179560660743,30
CORRENTES,62,17,CoSaMP,0.8721289354404372,1.2303282910248154,30
CORRENTES,62,17,BP,0.5530708958420626,0.5035283077950733,30
CORRENTES,62,18,OMP,0.6447183439841631,0.47355388701743234,30
CORRENTES,62,18,CoSaMP,0.6485006507830966,0.4727849689300739,30
CORRENTES,62,18,BP,0.9326497227532496,1.526430026105176,30
CORRENTES,62,19,OMP,0.6578805971391049,0.24754002561605917,30
CORRENTES,62,19,CoSaMP,0.663952087919343,0.24682910106766953,30
CORRENTES,62,19,BP,0.639823470432629,0.9921442356841145,30
